"","cve_muni","gp_inundac","gp_sequia2","gp_bajaste","gp_ciclnes","g_suscelad","gp_sismico","gp_tsunami","homicidio_culposo_tasa","homicidio_dolos_tasao","feminicidio_tasa","secuestro_tasa","robo_vehiculos_tasa","violencia_familiar_tasa","tasa_flot_esc","tasa_flot_trab","migracion_interna_reciente","migracion_externa_reciente","ipc_dif","ic_ali_porcentaje","ic_rezedu_porcentaje","ic_asalud_porcentaje","ic_segsoc_porcentaje","ic_cv_porcentaje","vul_ing_porcentaje","ic_sbv_porcentaje","pobreza_porcentaje","brecha_tasa_ocupados","brecha_horas_cuidados","prop_mayores65","prop_menores5","prop_adultos","prop_menores","prop_indigenas","prop_lengua_indigena","prop_afrodescendientes","prop_mujeres","prop_hombres","proporcion_jefatura","proporcion_unipersonales","disc_int","disc_fis","disc_sens","disc_men","proporcion_guar","brecha_salario_mensual","media_salario_m","media_salario_h","nd_spnn1","nd_nsnn4","indice","mec_tran","inf_publ","nd_nsnn1","flexibilidad_financiera","capacidad_inversion","aut_cobr","totalpo1","complejidad_2014","n_usuarios","pct_viv_con_internet","cobertura_dren","basura_porcent_cab","densidad_medicos","densidad_hospitales","densidad_camas","mortalidad_materna","mortalidad_infantil","num_jueces","num_agentes_fiscales","endeudamiento","liquidez","valor_ici","gobiernos","politico"
"1","01001","Medio","Medio","Bajo","Muy bajo","Muy alto","Medio","Sin peligro",1.02540766625177,0.373126784960429,0.00276390214761098,0.0276390214761098,25.3145790100098,6.45923910822187,0.000579121969014695,0.00114798390314527,0.0515893129533468,0.0105652780899299,0.00589544074975905,17.953285719,11.669963122,15.0593773546,36.3988819902,3.732472507,11.4506038322,2.9594077506,26.1129479632,0.593694795315817,2.15135410741471,0.0594740022116075,0.108088327500313,0.191503551112074,0.336603244451031,0.134901218664143,0.00273030928305156,0.00378823287999179,0.514665009861033,0.485334990138966,0.278267168056766,0.0940670283962023,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,93,1,1,1,12.3,16.4,1,0.76,0.811518401416414,3870396,0.2825554782,0.495,1,0.0225830115830116,0.00678957528957526,0.0149864864864865,0.0000473725271910904,0.00131902880397692,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"2","01002","Medio","Medio","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.94054969719478,0.306402581078666,0,0,3.62576391015734,2.60442196755182,0.00832902892561983,0.0228564049586777,0.0366308272891039,0.0111562882012077,0.00600356161296768,24.6517937762,19.8266744324,5.9791772303,69.0103622272,7.7931035972,7.6709518291,16.1990452151,53.9821396759,0.313690540281405,1.23786542700929,0.0636621900826446,0.1319516184573,0.193074207988981,0.394585055096419,0.0383737947658402,0.000387396694214876,0.00286243112947658,0.510481232782369,0.489518767217631,0.220543246500417,0.0629461388708631,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,2,7,1,1,1,5.2,31.1,1,0.4,0.606395870429364,178288,0.0316809914,0.95,0.07,0.00357575757575758,0.00304242424242424,0.0012969696969697,0,0.000343550788258198,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"3","01003","Muy bajo","Alto","Bajo","Muy bajo","Muy alto","Medio","Sin peligro",1.39862288747515,0.496285540716989,0,0,6.94799743379865,2.07537589754377,0.00287253782472167,0.00251570082786183,0.0220623078762873,0.0278486157394971,0.00603421817931418,17.3352799264,23.2206803604,9.8755975617,73.6300321807,5.2032374373,6.3433264207,7.7350218047,56.7551155805,0.453543145510531,2.57744129571327,0.0842492149586069,0.125963459891522,0.181879817299458,0.368969454753069,0.170942763345704,0.00123108763916643,0.00315800742220953,0.512953182986012,0.487046817013988,0.255958256945424,0.0937103370469609,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,57,0.666666666666667,1,1,-2.7,19.7,1,0.46,0.701291143896917,260262,0.0684493646,0.975,0.35,0.00673991031390132,0.00347982062780269,0.00320627802690583,0,0.00110801750099437,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"4","01004","Bajo","Alto","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.24323599679129,0.621617998395647,0,0,4.97294398716518,0.777022497994559,0.0177826282339346,0.0602169865827823,0.0340507221061591,0.00990279094657693,0.00605591321914054,20.7207955377,14.6936356733,5.5209932764,62.7087663779,7.9288566573,8.0411617193,7.6144075484,43.2058883984,0.366786806604504,1.87322299318568,0.0640688194132375,0.128779610964884,0.184952173075689,0.390254862938948,0.15433010207357,0.000449380496886435,0.00430121332734159,0.515182641073377,0.484817358926623,0.211707871554419,0.0659278204035237,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,2,100,1,1,1,41,25.3,1,0.7,0.611337366903043,55160,0.0340843443,1,1,0.00516666666666667,0.00403333333333333,0.002,0,0.000513610683102209,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"5","01005","Bajo","Alto","Bajo","Muy bajo","Muy alto","Medio","Sin peligro",1.1739089120002,0.37868028595334,0,0.037868028595334,9.14512914135343,3.78680301280249,0.00755782567169138,0.022241601262406,0.133593167978746,0.0116033425732559,0.00598360097180015,18.7374132007,17.266156609,15.1697780477,45.0059833972,8.1936107742,6.6117527418,6.3434535355,25.033205756,0.561181778489292,1.39155674595376,0.0400315601511565,0.129446451559321,0.188779535733566,0.392965408413272,0.0774718657863046,0.00245006436609775,0.00208463103691707,0.500560607948175,0.499439392051825,0.19892082598319,0.0714952786136765,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,36,1,1,1,26,20.9,1,0.47,0.821347548923859,495816,0.1867461953,0.98,0.35,0.00413461538461539,0.00400961538461539,0.000519230769230769,0,0.000250953623770327,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"6","01006","Alto","Alto","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.5097986630031,0.312372139522008,0,0.104124046507336,5.15414013181414,3.43609345526922,0.0112323284487767,0.0425408301594474,0.0496157712340412,0.0086944787290511,0.00599890070382375,19.3568946796,15.3237384842,10.5415921957,49.8061705564,5.7966650292,10.5456756168,5.8350944915,34.9233950425,0.483973436722435,1.73328062711779,0.0525036042433241,0.129257848643298,0.198028963053816,0.394659264519183,0.139500355044865,0.00154928668258989,0.00165687603554752,0.516063090396574,0.483936909603426,0.261212740273006,0.0558083387501161,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,2,7,1,1,1,31.3,30.2,1,0.6,0.703327662803363,158702,0.1392647842,0.825,0.8,0.0221166666666667,0.0047,0.0104833333333333,0.0000333466720021342,0.00186741363211951,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"7","01007","Medio","Medio","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.91804791348321,0.374253250303723,0,0.0467816562879653,8.04644495816458,3.46184261639913,0.00683176771989752,0.0273456354657855,0.037028323566406,0.0145922131082106,0.0060367738168168,22.6602938093,14.5924048923,10.3455162843,60.8383170376,7.8178380673,9.8521072046,7.653205855,50.070356324,0.459011118842801,1.18130632300413,0.0539301228975606,0.133219470538002,0.189748635502915,0.398006163442617,0.129228084505996,0.00131808561987153,0.0109716704414659,0.50445550068689,0.49554449931311,0.249938640268347,0.0719954184733699,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,100,0,1,1,10.2,18.5,1,0.89,0.715571035333157,202320,0.1156345911,0.5,0.7857,0.012448275862069,0.00474137931034483,0.00690517241379311,0.0000302041802585478,0.00148000483266884,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"8","01008","Bajo","Alto","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.62930134364537,0,0,0,1.35775111970447,2.17240179152716,0.0276528776978417,0.0535071942446043,0.0415877688659726,0.0175729989469765,0.0060380920596217,20.8936438011,15.2800503461,5.2359974827,74.7136563877,6.7715544368,4.4308370044,8.5714285714,59.6256765261,0.476947780782692,2.46243539838398,0.0702562949640288,0.141861510791367,0.188624100719424,0.40209082733813,0.204249100719424,0.00314748201438849,0.0056205035971223,0.519334532374101,0.480665467625899,0.311311787072243,0.0736692015209126,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,0,1,1,1,15.2,16.5,1,0.63,0.656200637564244,37952,0.0807222517,0.98,0.6,0.00234444444444445,0.00267777777777778,0.00204444444444445,0,0,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"9","01009","Bajo","Medio","Bajo","Muy bajo","Muy alto","Bajo","Sin peligro",1.04611260550363,0.232469467889695,0,0,1.85975576582409,1.16234736215501,0.0139539329064322,0.0491732772627354,0.0467683327560469,0.0136886541888418,0.00602422727027347,21.438562817,20.7859634092,8.2507254619,68.1739087832,6.1359346508,7.0639263838,10.4563785895,50.6642816028,0.318386773157091,2.18669888540948,0.0728280607856255,0.13676765745962,0.192631176526809,0.388798623721686,0.169358692535602,0.00210264742425691,0.00301060881200421,0.512711459428462,0.487288540571538,0.191390460792239,0.0695230396119644,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,1,1,100,1,1,1,57.9,24.4,1,0.68,0.675735914039027,74790,0.0310531053,0.95,0.45,0.00293939393939394,0.00336363636363637,0.00096969696969697,0,0.000077639751552795,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
"10","01010","Alto","Alto","Bajo","Muy bajo","Muy alto","Medio","Sin peligro",3.34085019429525,0.47726431347075,0,0,4.29537882123675,3.69879842939831,0.00760681649790072,0.0342800691528773,0.0401495206729736,0.0087301967568669,0.00598286392887756,24.7517030266,19.6542580573,9.116731952,63.7656687923,8.1745774901,8.1529388316,17.1182547505,55.0657127365,0.338963571633247,2.03300630254017,0.067720424796246,0.126154606075574,0.179303531736231,0.388244010866881,0.0582859965423561,0.000691528772536429,0.00296369473944184,0.506939985181526,0.493060014818474,0.204014748054076,0.0753789430561245,0.696210259619347,4.72404951235519,3.0301134022192,0.545719562264381,0.247614432454708,0.989286497466602,5203.23673062547,5259.58531118143,3,2,50,0.666666666666667,1,1,34.9,8.8,1,1,0.704031969932735,72364,0.0334617236,0.55,0.8,0.00336,0.00270666666666667,0.00192,0,0.000640732265446224,2.68252,8.89063,0.159552206758917,52.1256531028473,0.78,2,22
